,Activity
BR:MCF7,4
BR:MDA-MB-231,5.64
BR:HS 578T,4.47
BR:BT-549,4.44
BR:T-47D,4
CNS:SF-268,4.39
CNS:SF-295,4.34
CNS:SF-539,4.91
CNS:SNB-19,5.15
CNS:SNB-75,4.41
CNS:U251,5.41
CO:COLO 205,7.69
CO:HCC-2998,7.41
CO:HCT-116,6.63
CO:HCT-15,4.1
CO:HT29,7.46
CO:KM12,6.46
CO:SW-620,7.46
LE:CCRF-CEM,4
LE:HL-60(TB),7.86
LE:K-562,5.45
LE:MOLT-4,4
LE:RPMI-8226,4.5
LE:SR,4.66
ME:LOX IMVI,7.08
ME:MALME-3M,8
ME:M14,7.71
ME:SK-MEL-2,7.99
ME:SK-MEL-28,7.56
ME:SK-MEL-5,5.86
ME:UACC-257,7.63
ME:UACC-62,7.68
ME:MDA-MB-435,7.37
ME:MDA-N,NA
LC:A549/ATCC,5.27
LC:EKVX,6.3
LC:HOP-62,6.01
LC:HOP-92,7.39
LC:NCI-H226,4.74
LC:NCI-H23,6.77
LC:NCI-H322M,6.74
LC:NCI-H460,4
LC:NCI-H522,4.4
OV:IGROV1,5.19
OV:OVCAR-3,4
OV:OVCAR-4,4.73
OV:OVCAR-5,7.56
OV:OVCAR-8,4
OV:SK-OV-3,4.07
OV:NCI/ADR-RES,4
PR:PC-3,4
PR:DU-145,4.34
RE:786-0,4
RE:A498,NA
RE:ACHN,5.12
RE:CAKI-1,5.23
RE:RXF 393,5.39
RE:SN12C,4.84
RE:TK-10,6.89
RE:UO-31,4.86
